testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-21,Sullivan County,6,1287,158,6468
2020-05-21,Tioga County,1,118,105,2214
2020-05-21,Tompkins County,2,147,291,7974
2020-05-21,Ulster County,11,1595,552,14883
2020-05-21,Warren County,5,246,234,3685
2020-05-21,Washington County,2,224,100,2326
2020-05-21,Wayne County,1,104,104,3449
2020-05-21,Westchester County,94,32767,2350,133384
2020-05-21,Wyoming County,0,79,46,1675
2020-05-21,Yates County,0,34,107,847
2020-05-20,Albany County,18,1700,650,19313
2020-05-20,Allegany County,0,44,68,1279
2020-05-20,Bronx County,185,43603,3618,148900
2020-05-20,Broome County,15,451,419,9165
2020-05-20,Cattaraugus County,1,71,186,2778
2020-05-20,Cayuga County,4,72,105,2335
2020-05-20,Chautauqua County,8,58,273,2855
2020-05-20,Chemung County,0,134,91,4394
2020-05-20,Chenango County,0,118,150,2236
2020-05-20,Clinton County,0,94,204,2198
2020-05-20,Columbia County,5,355,128,3086
2020-05-20,Cortland County,0,36,144,2454
2020-05-20,Delaware County,2,71,65,1772
2020-05-20,Dutchess County,21,3745,573,24304
2020-05-20,Erie County,139,5270,2974,42107
2020-05-20,Essex County,2,36,162,1672
2020-05-20,Franklin County,1,19,245,1839
2020-05-20,Fulton County,2,186,100,2083
2020-05-20,Genesee County,4,188,145,2586
2020-05-20,Greene County,0,215,44,2148
2020-05-20,Hamilton County,0,5,12,354
2020-05-20,Herkimer County,0,93,60,1977
2020-05-20,Jefferson County,0,71,324,3829
2020-05-20,Kings County,496,53385,7252,202508
2020-05-20,Lewis County,0,18,176,1463
2020-05-20,Livingston County,3,114,105,2638
2020-05-20,Madison County,2,294,101,2876
2020-05-20,Monroe County,65,2530,1852,37819
2020-05-20,Montgomery County,2,77,96,1816
2020-05-20,Nassau County,119,39487,3112,140526
2020-05-20,New York County,131,25522,4219,124120
2020-05-20,Niagara County,22,880,540,9151
2020-05-20,Oneida County,15,817,779,10174
2020-05-20,Onondaga County,53,1771,1137,24763
2020-05-20,Ontario County,6,176,264,4472
2020-05-20,Orange County,49,10092,919,41486
2020-05-20,Orleans County,3,174,98,1575
2020-05-20,Oswego County,2,92,300,3411
2020-05-20,Otsego County,0,67,65,2665
2020-05-20,Putnam County,7,1175,165,7017
2020-05-20,Queens County,273,60025,5151,201889
2020-05-20,Rensselaer County,3,456,403,7195
2020-05-20,Richmond County,40,13140,908,48759
2020-05-20,Rockland County,46,12877,1091,44772
2020-05-20,Saratoga County,2,440,458,9760
2020-05-20,Schenectady County,5,638,378,8210
2020-05-20,Schoharie County,1,49,33,1141
2020-05-20,Schuyler County,0,10,42,974
2020-05-20,Seneca County,0,52,79,1348
2020-05-20,St. Lawrence County,0,195,504,6809
2020-05-20,Steuben County,1,238,133,4396
2020-05-20,Suffolk County,142,38553,3623,142800
